DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:25:41.8921829Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:27:59.8701028Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:28:08.0127459Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:28:08.6637936Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:28:15.9358844Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:28:16.6573414Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:28:42.0908736Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:28:43.1597520Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:28:59.1713321Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:28:59.8864012Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:29:08.0322189Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:29:08.6867848Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:29:15.9605512Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:29:16.6758888Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:29:42.1077233Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:29:43.1727950Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:29:59.1890963Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:29:59.8956029Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:30:08.0496888Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:30:08.7027279Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:30:15.9707935Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:30:16.7028529Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:30:42.1344335Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:30:43.1871219Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:30:59.2098487Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:30:59.9127366Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:31:08.0659756Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:31:08.7155362Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:31:15.9906346Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:31:16.7186063Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:31:42.1626570Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:31:43.2065540Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:31:59.2286147Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:31:59.9302716Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:32:08.0895408Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:32:08.7815509Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:32:16.0197361Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:32:16.7651844Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:32:42.1756639Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:32:43.2273832Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:32:59.2551930Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:32:59.9407520Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:33:08.1317581Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:33:08.8175453Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:33:16.0548006Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:33:16.8292630Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:33:42.2154426Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:33:43.3694014Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:33:59.2683177Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:33:59.9546656Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:34:08.1533420Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:34:08.8556806Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:34:16.0714300Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:34:16.8487417Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:34:42.2389768Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:34:43.3845790Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:34:59.2845685Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:34:59.9746314Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:35:08.1679786Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:35:08.8676661Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:35:16.0943725Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:35:16.8742370Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:35:42.2610085Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:35:43.4037073Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:35:59.2971653Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:35:59.9847913Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:36:08.1860811Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:36:08.8858628Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:36:16.1132440Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:36:16.8946118Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:36:42.2788281Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:36:43.4154656Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:36:59.3127168Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:36:59.9990730Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:37:08.2172383Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:37:08.9037781Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:37:16.1253845Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:37:16.9188385Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:37:42.2964133Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:37:43.4415509Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:37:59.3359581Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:38:00.0086871Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:38:08.2438675Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:38:08.9280590Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:38:16.1393325Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:38:16.9280135Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:38:42.3128587Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:38:43.4679367Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:38:59.3496160Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:39:00.0356745Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:39:08.2540282Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:39:08.9548171Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:39:16.1545095Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:39:16.9392145Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:39:42.3279159Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:39:43.4813238Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:39:59.3632303Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:40:00.0482035Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:40:08.2627545Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:40:08.9803701Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:40:16.1739966Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:40:16.9504408Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:40:42.3367198Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:40:43.4960425Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:40:59.3849189Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:41:00.0698440Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:41:08.2822387Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:41:08.9995945Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:41:16.1917447Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:41:16.9599275Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:41:42.3540441Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 26,0 | 2025-05-26T11:41:43.5058167Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:41:59.3981225Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:42:00.0860662Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:42:08.3119910Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:42:09.0270700Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:42:16.2057268Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:42:16.9714114Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:42:42.3692037Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:42:43.5263364Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:42:59.4078819Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:43:00.1089007Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:43:08.3250435Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:43:09.0456590Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:43:16.2316985Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:43:16.9826762Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:43:42.3785817Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:43:43.5375758Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:43:59.4233596Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:44:00.1392398Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:44:08.3504337Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:44:09.0674947Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:44:16.2434585Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:44:17.0070883Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:44:42.3887745Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:44:43.5611498Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:44:59.4370381Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:45:00.1524438Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:45:08.3690021Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:45:09.0845368Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:45:16.2579994Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:45:17.0192216Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:45:42.4029536Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:45:43.5770594Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:45:59.4573537Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:46:00.1782930Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:46:08.3854234Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:46:09.1034522Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:46:16.2819902Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:46:17.0436512Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:46:42.4276975Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:46:43.5945072Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:46:59.4671309Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:47:00.1972421Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:47:08.3968582Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:47:09.1126132Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:47:16.3048681Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:47:17.0658836Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:47:42.4482620Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:47:43.6062787Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:47:59.4780279Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:48:00.2107776Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:48:08.4136878Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:48:09.1322755Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:48:16.3263454Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:48:17.0768048Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:48:42.4612155Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:48:43.6284105Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:48:59.4882504Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:49:00.2356022Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:49:08.4297983Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:49:09.1464982Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:49:16.3417117Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:49:17.0905917Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:49:42.5038632Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:49:43.6366659Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:49:59.5049138Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:50:00.2555507Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:50:08.4505146Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:50:09.1658519Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:50:16.3665545Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:50:17.1143085Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:50:42.5239929Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:50:43.6576507Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:50:59.5224997Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:51:00.2712738Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:51:08.4666271Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:51:09.1848976Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:51:16.3779373Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:51:17.1344792Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:51:42.5491511Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:51:43.6851005Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:51:59.5453069Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:52:00.2946404Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:52:08.4827044Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:52:09.2038242Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:52:16.3919324Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:52:17.1592428Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:52:42.5639164Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:52:43.7029659Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:52:59.5613392Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 26,0 | 2025-05-26T11:53:00.3077094Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:53:08.5046345Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:53:09.2236050Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:53:16.4106208Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:53:17.1707523Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:53:42.5808421Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:53:43.7259517Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:53:59.5854106Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:54:00.3308670Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:54:08.5228173Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:54:09.2407414Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:54:16.4244262Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:54:17.1877540Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:54:42.5919910Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:54:43.7424256Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:54:59.5968864Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:55:00.3513583Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:55:08.5440503Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:55:09.2571301Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:55:16.4505737Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:55:17.2140436Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:55:42.6098453Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:55:43.7601237Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:55:59.6340056Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:56:00.3669276Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:56:08.5962874Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:56:09.2781032Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:56:16.4758950Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:56:17.2550741Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:56:42.6318736Z
